Scan ID,Theta
214703,-90
214700,-88
214697,-86
214694,-84
214691,-82
214688,-80
214685,-78
214682,-75.999
214679,-74
214676,-72
214673,-70
214670,-68
214667,-66
214664,-64
214661,-62
214658,-60
214655,-58
214652,-55.999
214649,-54
214646,-52
214643,-50
214640,-48
214637,-46
214634,-44
214631,-42
214628,-40
214625,-38
214622,-36
214619,-34
214616,-32
214613,-30
214610,-28
214607,-26
214604,-24
214601,-22
214598,-20
214595,-18
214589,-14
214586,-12.001
214583,-10
214580,-8
214577,-6
214574,-4
214571,-2
214568,0
214565,2
214562,4
214559,6
214556,8
214553,10
214550,12
214547,14
214544,16
214541,18
214538,20
214535,22
214532,24
214529,26
214526,28
214523,30
214517,34
214514,36
214511,38
214508,40
214505,42
214502,44
214499,46
214496,48
214493,50
214490,51
214706,52
214709,54
214712,56
214715,58
214718,60
214721,62
214724,64
214727,66
214730,68
214433,70
214430,71
214427,72
214421,74
214415,76
214412,77
214409,78
214406,79
214403,80
214400,81
214397,82
214394,83
214391,84
214388,85
214385,86
214382,87
214379,88
214376,89
214373,90
